鼓楼	镇江路晚市  	2室1厅  	50	三牌楼	2900
鼓楼	迎江园  	2室1厅  	62	定淮门大街	2500
鼓楼	邮政世纪花园  	2室1厅  	75	凤凰西街	4000
鼓楼	海德卫城  	3室2厅  	125	草场门大街	7000
鼓楼	镇江路  	2室2厅  	68	挹江门	3500
鼓楼	郑和国际广场  	2室2厅  	96	草场门大街	6900
鼓楼	甲壳虫公寓  	1室1厅  	22	汉中门大街	2800
鼓楼	小市新村  	2室1厅  	75	小市	2400
鼓楼	西桥  	1室1厅  	17	湖南路	1925
鼓楼	清河新寓一村  	1室1厅  	45	凤凰西街	2800
鼓楼	中商万豪  	1室1厅  	38	湖南路	2900
鼓楼	水佐岗48巷5号  	2室1厅  	57	水佐岗	3000
鼓楼	百合果园  	3室2厅  	143	定淮门大街	6800
鼓楼	南秀大厦  	1室1厅  	40	宁海路	4500
鼓楼	新河二村  	2室1厅  	55	定淮门大街	2500
鼓楼	永嘉年华  	2室1厅  	50	龙江	4800
鼓楼	武夷路  	3室2厅  	82	宁海路	6200
鼓楼	华阳佳园华聚苑  	3室2厅  	130	凤凰西街	6800
鼓楼	中海凤凰熙岸玺荟  	1室1厅  	57	凤凰西街	4900
鼓楼	世茂滨江新城  	3室2厅  	171	热河南路	7800
鼓楼	南秀村  	1室1厅  	15	宁海路	2000
鼓楼	花开四季  	4室2厅  	178	龙江	9900
鼓楼	颂德里  	2室1厅  	60	三牌楼	3500
鼓楼	凤凰西街146号  	1室1厅  	50	凤凰西街	2800
鼓楼	东井村3号  	2室2厅  	85	小市	3180
鼓楼	江滨新寓  	2室1厅  	61	草场门大街	3800
鼓楼	青岛路小区  	2室1厅  	50	宁海路	3500
鼓楼	金城花园  	2室2厅  	69	挹江门	2900
鼓楼	汉口西路  	2室0厅  	60	宁海路	3900
鼓楼	银城街  	2室1厅  	55	龙江	3200
鼓楼	镇江路晚市  	2室1厅  	50	三牌楼	2900
鼓楼	迎江园  	2室1厅  	62	定淮门大街	2500
鼓楼	邮政世纪花园  	2室1厅  	75	凤凰西街	4000
鼓楼	海德卫城  	3室2厅  	125	草场门大街	7000
鼓楼	镇江路  	2室2厅  	68	挹江门	3500
鼓楼	郑和国际广场  	2室2厅  	96	草场门大街	6900
鼓楼	甲壳虫公寓  	1室1厅  	22	汉中门大街	2800
鼓楼	小市新村  	2室1厅  	75	小市	2400
鼓楼	西桥  	1室1厅  	17	湖南路	1925
鼓楼	清河新寓一村  	1室1厅  	45	凤凰西街	2800
鼓楼	中商万豪  	1室1厅  	38	湖南路	2900
鼓楼	水佐岗48巷5号  	2室1厅  	57	水佐岗	3000
鼓楼	百合果园  	3室2厅  	143	定淮门大街	6800
鼓楼	南秀大厦  	1室1厅  	40	宁海路	4500
鼓楼	新河二村  	2室1厅  	55	定淮门大街	2500
鼓楼	永嘉年华  	2室1厅  	50	龙江	4800
鼓楼	武夷路  	3室2厅  	82	宁海路	6200
鼓楼	华阳佳园华聚苑  	3室2厅  	130	凤凰西街	6800
鼓楼	中海凤凰熙岸玺荟  	1室1厅  	57	凤凰西街	4900
鼓楼	世茂滨江新城  	3室2厅  	171	热河南路	7800
鼓楼	南秀村  	1室1厅  	15	宁海路	2000
鼓楼	花开四季  	4室2厅  	178	龙江	9900
鼓楼	颂德里  	2室1厅  	60	三牌楼	3500
鼓楼	凤凰西街146号  	1室1厅  	50	凤凰西街	2800
鼓楼	东井村3号  	2室2厅  	85	小市	3180
鼓楼	江滨新寓  	2室1厅  	61	草场门大街	3800
鼓楼	青岛路小区  	2室1厅  	50	宁海路	3500
鼓楼	金城花园  	2室2厅  	69	挹江门	2900
鼓楼	汉口西路  	2室0厅  	60	宁海路	3900
鼓楼	银城街  	2室1厅  	55	龙江	3200
鼓楼	镇江路晚市  	2室1厅  	50	三牌楼	2900
鼓楼	迎江园  	2室1厅  	62	定淮门大街	2500
鼓楼	邮政世纪花园  	2室1厅  	75	凤凰西街	4000
鼓楼	海德卫城  	3室2厅  	125	草场门大街	7000
鼓楼	镇江路  	2室2厅  	68	挹江门	3500
鼓楼	郑和国际广场  	2室2厅  	96	草场门大街	6900
鼓楼	甲壳虫公寓  	1室1厅  	22	汉中门大街	2800
鼓楼	小市新村  	2室1厅  	75	小市	2400
鼓楼	西桥  	1室1厅  	17	湖南路	1925
鼓楼	清河新寓一村  	1室1厅  	45	凤凰西街	2800
鼓楼	中商万豪  	1室1厅  	38	湖南路	2900
鼓楼	水佐岗48巷5号  	2室1厅  	57	水佐岗	3000
鼓楼	百合果园  	3室2厅  	143	定淮门大街	6800
鼓楼	南秀大厦  	1室1厅  	40	宁海路	4500
鼓楼	新河二村  	2室1厅  	55	定淮门大街	2500
鼓楼	永嘉年华  	2室1厅  	50	龙江	4800
鼓楼	武夷路  	3室2厅  	82	宁海路	6200
鼓楼	华阳佳园华聚苑  	3室2厅  	130	凤凰西街	6800
鼓楼	中海凤凰熙岸玺荟  	1室1厅  	57	凤凰西街	4900
鼓楼	世茂滨江新城  	3室2厅  	171	热河南路	7800
鼓楼	南秀村  	1室1厅  	15	宁海路	2000
鼓楼	花开四季  	4室2厅  	178	龙江	9900
鼓楼	颂德里  	2室1厅  	60	三牌楼	3500
鼓楼	凤凰西街146号  	1室1厅  	50	凤凰西街	2800
鼓楼	东井村3号  	2室2厅  	85	小市	3180
鼓楼	江滨新寓  	2室1厅  	61	草场门大街	3800
鼓楼	青岛路小区  	2室1厅  	50	宁海路	3500
鼓楼	金城花园  	2室2厅  	69	挹江门	2900
鼓楼	汉口西路  	2室0厅  	60	宁海路	3900
鼓楼	银城街  	2室1厅  	55	龙江	3200
鼓楼	镇江路晚市  	2室1厅  	50	三牌楼	2900
鼓楼	迎江园  	2室1厅  	62	定淮门大街	2500
鼓楼	邮政世纪花园  	2室1厅  	75	凤凰西街	4000
鼓楼	海德卫城  	3室2厅  	125	草场门大街	7000
鼓楼	镇江路  	2室2厅  	68	挹江门	3500
鼓楼	郑和国际广场  	2室2厅  	96	草场门大街	6900
鼓楼	甲壳虫公寓  	1室1厅  	22	汉中门大街	2800
鼓楼	小市新村  	2室1厅  	75	小市	2400
鼓楼	西桥  	1室1厅  	17	湖南路	1925
鼓楼	清河新寓一村  	1室1厅  	45	凤凰西街	2800
鼓楼	中商万豪  	1室1厅  	38	湖南路	2900
鼓楼	水佐岗48巷5号  	2室1厅  	57	水佐岗	3000
鼓楼	百合果园  	3室2厅  	143	定淮门大街	6800
鼓楼	南秀大厦  	1室1厅  	40	宁海路	4500
鼓楼	新河二村  	2室1厅  	55	定淮门大街	2500
鼓楼	永嘉年华  	2室1厅  	50	龙江	4800
鼓楼	武夷路  	3室2厅  	82	宁海路	6200
鼓楼	华阳佳园华聚苑  	3室2厅  	130	凤凰西街	6800
鼓楼	中海凤凰熙岸玺荟  	1室1厅  	57	凤凰西街	4900
鼓楼	世茂滨江新城  	3室2厅  	171	热河南路	7800
鼓楼	南秀村  	1室1厅  	15	宁海路	2000
鼓楼	花开四季  	4室2厅  	178	龙江	9900
鼓楼	颂德里  	2室1厅  	60	三牌楼	3500
鼓楼	凤凰西街146号  	1室1厅  	50	凤凰西街	2800
鼓楼	东井村3号  	2室2厅  	85	小市	3180
鼓楼	江滨新寓  	2室1厅  	61	草场门大街	3800
鼓楼	青岛路小区  	2室1厅  	50	宁海路	3500
鼓楼	金城花园  	2室2厅  	69	挹江门	2900
鼓楼	汉口西路  	2室0厅  	60	宁海路	3900
鼓楼	银城街  	2室1厅  	55	龙江	3200
鼓楼	镇江路晚市  	2室1厅  	50	三牌楼	2900
鼓楼	迎江园  	2室1厅  	62	定淮门大街	2500
鼓楼	邮政世纪花园  	2室1厅  	75	凤凰西街	4000
鼓楼	海德卫城  	3室2厅  	125	草场门大街	7000
鼓楼	镇江路  	2室2厅  	68	挹江门	3500
鼓楼	郑和国际广场  	2室2厅  	96	草场门大街	6900
鼓楼	甲壳虫公寓  	1室1厅  	22	汉中门大街	2800
鼓楼	小市新村  	2室1厅  	75	小市	2400
鼓楼	西桥  	1室1厅  	17	湖南路	1925
鼓楼	清河新寓一村  	1室1厅  	45	凤凰西街	2800
鼓楼	中商万豪  	1室1厅  	38	湖南路	2900
鼓楼	水佐岗48巷5号  	2室1厅  	57	水佐岗	3000
鼓楼	百合果园  	3室2厅  	143	定淮门大街	6800
鼓楼	南秀大厦  	1室1厅  	40	宁海路	4500
鼓楼	新河二村  	2室1厅  	55	定淮门大街	2500
鼓楼	永嘉年华  	2室1厅  	50	龙江	4800
鼓楼	武夷路  	3室2厅  	82	宁海路	6200
鼓楼	华阳佳园华聚苑  	3室2厅  	130	凤凰西街	6800
鼓楼	中海凤凰熙岸玺荟  	1室1厅  	57	凤凰西街	4900
鼓楼	世茂滨江新城  	3室2厅  	171	热河南路	7800
鼓楼	南秀村  	1室1厅  	15	宁海路	2000
鼓楼	花开四季  	4室2厅  	178	龙江	9900
鼓楼	颂德里  	2室1厅  	60	三牌楼	3500
鼓楼	凤凰西街146号  	1室1厅  	50	凤凰西街	2800
鼓楼	东井村3号  	2室2厅  	85	小市	3180
鼓楼	江滨新寓  	2室1厅  	61	草场门大街	3800
鼓楼	青岛路小区  	2室1厅  	50	宁海路	3500
鼓楼	金城花园  	2室2厅  	69	挹江门	2900
鼓楼	汉口西路  	2室0厅  	60	宁海路	3900
鼓楼	银城街  	2室1厅  	55	龙江	3200
鼓楼	镇江路晚市  	2室1厅  	50	三牌楼	2900
鼓楼	迎江园  	2室1厅  	62	定淮门大街	2500
鼓楼	邮政世纪花园  	2室1厅  	75	凤凰西街	4000
鼓楼	海德卫城  	3室2厅  	125	草场门大街	7000
鼓楼	镇江路  	2室2厅  	68	挹江门	3500
鼓楼	郑和国际广场  	2室2厅  	96	草场门大街	6900
鼓楼	甲壳虫公寓  	1室1厅  	22	汉中门大街	2800
鼓楼	小市新村  	2室1厅  	75	小市	2400
鼓楼	西桥  	1室1厅  	17	湖南路	1925
鼓楼	清河新寓一村  	1室1厅  	45	凤凰西街	2800
鼓楼	中商万豪  	1室1厅  	38	湖南路	2900
鼓楼	水佐岗48巷5号  	2室1厅  	57	水佐岗	3000
鼓楼	百合果园  	3室2厅  	143	定淮门大街	6800
鼓楼	南秀大厦  	1室1厅  	40	宁海路	4500
鼓楼	新河二村  	2室1厅  	55	定淮门大街	2500
鼓楼	永嘉年华  	2室1厅  	50	龙江	4800
鼓楼	武夷路  	3室2厅  	82	宁海路	6200
鼓楼	华阳佳园华聚苑  	3室2厅  	130	凤凰西街	6800
鼓楼	中海凤凰熙岸玺荟  	1室1厅  	57	凤凰西街	4900
鼓楼	世茂滨江新城  	3室2厅  	171	热河南路	7800
鼓楼	南秀村  	1室1厅  	15	宁海路	2000
鼓楼	花开四季  	4室2厅  	178	龙江	9900
鼓楼	颂德里  	2室1厅  	60	三牌楼	3500
鼓楼	凤凰西街146号  	1室1厅  	50	凤凰西街	2800
鼓楼	东井村3号  	2室2厅  	85	小市	3180
鼓楼	江滨新寓  	2室1厅  	61	草场门大街	3800
鼓楼	青岛路小区  	2室1厅  	50	宁海路	3500
鼓楼	金城花园  	2室2厅  	69	挹江门	2900
鼓楼	汉口西路  	2室0厅  	60	宁海路	3900
鼓楼	银城街  	2室1厅  	55	龙江	3200
鼓楼	镇江路晚市  	2室1厅  	50	三牌楼	2900
鼓楼	迎江园  	2室1厅  	62	定淮门大街	2500
鼓楼	邮政世纪花园  	2室1厅  	75	凤凰西街	4000
鼓楼	海德卫城  	3室2厅  	125	草场门大街	7000
鼓楼	镇江路  	2室2厅  	68	挹江门	3500
鼓楼	郑和国际广场  	2室2厅  	96	草场门大街	6900
鼓楼	甲壳虫公寓  	1室1厅  	22	汉中门大街	2800
鼓楼	小市新村  	2室1厅  	75	小市	2400
鼓楼	西桥  	1室1厅  	17	湖南路	1925
鼓楼	清河新寓一村  	1室1厅  	45	凤凰西街	2800
鼓楼	中商万豪  	1室1厅  	38	湖南路	2900
鼓楼	水佐岗48巷5号  	2室1厅  	57	水佐岗	3000
鼓楼	百合果园  	3室2厅  	143	定淮门大街	6800
鼓楼	南秀大厦  	1室1厅  	40	宁海路	4500
鼓楼	新河二村  	2室1厅  	55	定淮门大街	2500
鼓楼	永嘉年华  	2室1厅  	50	龙江	4800
鼓楼	武夷路  	3室2厅  	82	宁海路	6200
鼓楼	华阳佳园华聚苑  	3室2厅  	130	凤凰西街	6800
鼓楼	中海凤凰熙岸玺荟  	1室1厅  	57	凤凰西街	4900
鼓楼	世茂滨江新城  	3室2厅  	171	热河南路	7800
鼓楼	南秀村  	1室1厅  	15	宁海路	2000
鼓楼	花开四季  	4室2厅  	178	龙江	9900
鼓楼	颂德里  	2室1厅  	60	三牌楼	3500
鼓楼	凤凰西街146号  	1室1厅  	50	凤凰西街	2800
鼓楼	东井村3号  	2室2厅  	85	小市	3180
鼓楼	江滨新寓  	2室1厅  	61	草场门大街	3800
鼓楼	青岛路小区  	2室1厅  	50	宁海路	3500
鼓楼	金城花园  	2室2厅  	69	挹江门	2900
鼓楼	汉口西路  	2室0厅  	60	宁海路	3900
鼓楼	银城街  	2室1厅  	55	龙江	3200
鼓楼	镇江路晚市  	2室1厅  	50	三牌楼	2900
鼓楼	迎江园  	2室1厅  	62	定淮门大街	2500
鼓楼	邮政世纪花园  	2室1厅  	75	凤凰西街	4000
鼓楼	海德卫城  	3室2厅  	125	草场门大街	7000
鼓楼	镇江路  	2室2厅  	68	挹江门	3500
鼓楼	郑和国际广场  	2室2厅  	96	草场门大街	6900
鼓楼	甲壳虫公寓  	1室1厅  	22	汉中门大街	2800
鼓楼	小市新村  	2室1厅  	75	小市	2400
鼓楼	西桥  	1室1厅  	17	湖南路	1925
鼓楼	清河新寓一村  	1室1厅  	45	凤凰西街	2800
鼓楼	中商万豪  	1室1厅  	38	湖南路	2900
鼓楼	水佐岗48巷5号  	2室1厅  	57	水佐岗	3000
鼓楼	百合果园  	3室2厅  	143	定淮门大街	6800
鼓楼	南秀大厦  	1室1厅  	40	宁海路	4500
鼓楼	新河二村  	2室1厅  	55	定淮门大街	2500
鼓楼	永嘉年华  	2室1厅  	50	龙江	4800
鼓楼	武夷路  	3室2厅  	82	宁海路	6200
鼓楼	华阳佳园华聚苑  	3室2厅  	130	凤凰西街	6800
鼓楼	中海凤凰熙岸玺荟  	1室1厅  	57	凤凰西街	4900
鼓楼	世茂滨江新城  	3室2厅  	171	热河南路	7800
鼓楼	南秀村  	1室1厅  	15	宁海路	2000
鼓楼	花开四季  	4室2厅  	178	龙江	9900
鼓楼	颂德里  	2室1厅  	60	三牌楼	3500
鼓楼	凤凰西街146号  	1室1厅  	50	凤凰西街	2800
鼓楼	东井村3号  	2室2厅  	85	小市	3180
鼓楼	江滨新寓  	2室1厅  	61	草场门大街	3800
鼓楼	青岛路小区  	2室1厅  	50	宁海路	3500
鼓楼	金城花园  	2室2厅  	69	挹江门	2900
鼓楼	汉口西路  	2室0厅  	60	宁海路	3900
鼓楼	银城街  	2室1厅  	55	龙江	3200
鼓楼	镇江路晚市  	2室1厅  	50	三牌楼	2900
鼓楼	迎江园  	2室1厅  	62	定淮门大街	2500
鼓楼	邮政世纪花园  	2室1厅  	75	凤凰西街	4000
鼓楼	海德卫城  	3室2厅  	125	草场门大街	7000
鼓楼	镇江路  	2室2厅  	68	挹江门	3500
鼓楼	郑和国际广场  	2室2厅  	96	草场门大街	6900
鼓楼	甲壳虫公寓  	1室1厅  	22	汉中门大街	2800
鼓楼	小市新村  	2室1厅  	75	小市	2400
鼓楼	西桥  	1室1厅  	17	湖南路	1925
鼓楼	清河新寓一村  	1室1厅  	45	凤凰西街	2800
鼓楼	中商万豪  	1室1厅  	38	湖南路	2900
鼓楼	水佐岗48巷5号  	2室1厅  	57	水佐岗	3000
鼓楼	百合果园  	3室2厅  	143	定淮门大街	6800
鼓楼	南秀大厦  	1室1厅  	40	宁海路	4500
鼓楼	新河二村  	2室1厅  	55	定淮门大街	2500
鼓楼	永嘉年华  	2室1厅  	50	龙江	4800
鼓楼	武夷路  	3室2厅  	82	宁海路	6200
鼓楼	华阳佳园华聚苑  	3室2厅  	130	凤凰西街	6800
鼓楼	中海凤凰熙岸玺荟  	1室1厅  	57	凤凰西街	4900
鼓楼	世茂滨江新城  	3室2厅  	171	热河南路	7800
鼓楼	南秀村  	1室1厅  	15	宁海路	2000
鼓楼	花开四季  	4室2厅  	178	龙江	9900
鼓楼	颂德里  	2室1厅  	60	三牌楼	3500
鼓楼	凤凰西街146号  	1室1厅  	50	凤凰西街	2800
鼓楼	东井村3号  	2室2厅  	85	小市	3180
鼓楼	江滨新寓  	2室1厅  	61	草场门大街	3800
鼓楼	青岛路小区  	2室1厅  	50	宁海路	3500
鼓楼	金城花园  	2室2厅  	69	挹江门	2900
鼓楼	汉口西路  	2室0厅  	60	宁海路	3900
鼓楼	银城街  	2室1厅  	55	龙江	3200
鼓楼	镇江路晚市  	2室1厅  	50	三牌楼	2900
鼓楼	迎江园  	2室1厅  	62	定淮门大街	2500
鼓楼	邮政世纪花园  	2室1厅  	75	凤凰西街	4000
鼓楼	海德卫城  	3室2厅  	125	草场门大街	7000
鼓楼	镇江路  	2室2厅  	68	挹江门	3500
鼓楼	郑和国际广场  	2室2厅  	96	草场门大街	6900
鼓楼	甲壳虫公寓  	1室1厅  	22	汉中门大街	2800
鼓楼	小市新村  	2室1厅  	75	小市	2400
鼓楼	西桥  	1室1厅  	17	湖南路	1925
鼓楼	清河新寓一村  	1室1厅  	45	凤凰西街	2800
鼓楼	中商万豪  	1室1厅  	38	湖南路	2900
鼓楼	水佐岗48巷5号  	2室1厅  	57	水佐岗	3000
鼓楼	百合果园  	3室2厅  	143	定淮门大街	6800
鼓楼	南秀大厦  	1室1厅  	40	宁海路	4500
鼓楼	新河二村  	2室1厅  	55	定淮门大街	2500
鼓楼	永嘉年华  	2室1厅  	50	龙江	4800
鼓楼	武夷路  	3室2厅  	82	宁海路	6200
鼓楼	华阳佳园华聚苑  	3室2厅  	130	凤凰西街	6800
鼓楼	中海凤凰熙岸玺荟  	1室1厅  	57	凤凰西街	4900
鼓楼	世茂滨江新城  	3室2厅  	171	热河南路	7800
鼓楼	南秀村  	1室1厅  	15	宁海路	2000
鼓楼	花开四季  	4室2厅  	178	龙江	9900
鼓楼	颂德里  	2室1厅  	60	三牌楼	3500
鼓楼	凤凰西街146号  	1室1厅  	50	凤凰西街	2800
鼓楼	东井村3号  	2室2厅  	85	小市	3180
鼓楼	江滨新寓  	2室1厅  	61	草场门大街	3800
鼓楼	青岛路小区  	2室1厅  	50	宁海路	3500
鼓楼	金城花园  	2室2厅  	69	挹江门	2900
鼓楼	汉口西路  	2室0厅  	60	宁海路	3900
鼓楼	银城街  	2室1厅  	55	龙江	3200
鼓楼	镇江路晚市  	2室1厅  	50	三牌楼	2900
鼓楼	迎江园  	2室1厅  	62	定淮门大街	2500
鼓楼	邮政世纪花园  	2室1厅  	75	凤凰西街	4000
鼓楼	海德卫城  	3室2厅  	125	草场门大街	7000
鼓楼	镇江路  	2室2厅  	68	挹江门	3500
鼓楼	郑和国际广场  	2室2厅  	96	草场门大街	6900
鼓楼	甲壳虫公寓  	1室1厅  	22	汉中门大街	2800
鼓楼	小市新村  	2室1厅  	75	小市	2400
鼓楼	西桥  	1室1厅  	17	湖南路	1925
鼓楼	清河新寓一村  	1室1厅  	45	凤凰西街	2800
鼓楼	中商万豪  	1室1厅  	38	湖南路	2900
鼓楼	水佐岗48巷5号  	2室1厅  	57	水佐岗	3000
鼓楼	百合果园  	3室2厅  	143	定淮门大街	6800
鼓楼	南秀大厦  	1室1厅  	40	宁海路	4500
鼓楼	新河二村  	2室1厅  	55	定淮门大街	2500
鼓楼	永嘉年华  	2室1厅  	50	龙江	4800
鼓楼	武夷路  	3室2厅  	82	宁海路	6200
鼓楼	华阳佳园华聚苑  	3室2厅  	130	凤凰西街	6800
鼓楼	中海凤凰熙岸玺荟  	1室1厅  	57	凤凰西街	4900
鼓楼	世茂滨江新城  	3室2厅  	171	热河南路	7800
鼓楼	南秀村  	1室1厅  	15	宁海路	2000
鼓楼	花开四季  	4室2厅  	178	龙江	9900
鼓楼	颂德里  	2室1厅  	60	三牌楼	3500
鼓楼	凤凰西街146号  	1室1厅  	50	凤凰西街	2800
鼓楼	东井村3号  	2室2厅  	85	小市	3180
鼓楼	江滨新寓  	2室1厅  	61	草场门大街	3800
鼓楼	青岛路小区  	2室1厅  	50	宁海路	3500
鼓楼	金城花园  	2室2厅  	69	挹江门	2900
鼓楼	汉口西路  	2室0厅  	60	宁海路	3900
鼓楼	银城街  	2室1厅  	55	龙江	3200
鼓楼	镇江路晚市  	2室1厅  	50	三牌楼	2900
鼓楼	迎江园  	2室1厅  	62	定淮门大街	2500
鼓楼	邮政世纪花园  	2室1厅  	75	凤凰西街	4000
鼓楼	海德卫城  	3室2厅  	125	草场门大街	7000
鼓楼	镇江路  	2室2厅  	68	挹江门	3500
鼓楼	郑和国际广场  	2室2厅  	96	草场门大街	6900
鼓楼	甲壳虫公寓  	1室1厅  	22	汉中门大街	2800
鼓楼	小市新村  	2室1厅  	75	小市	2400
鼓楼	西桥  	1室1厅  	17	湖南路	1925
鼓楼	清河新寓一村  	1室1厅  	45	凤凰西街	2800
鼓楼	中商万豪  	1室1厅  	38	湖南路	2900
鼓楼	水佐岗48巷5号  	2室1厅  	57	水佐岗	3000
鼓楼	百合果园  	3室2厅  	143	定淮门大街	6800
